state,region,usage_date,usage_mwh,latitude,longitude
Punjab,NR,2019-01-02,119.9,31.51997398,75.98000281
Haryana,NR,2019-01-02,130.3,28.45000633,77.01999101
Rajasthan,NR,2019-01-02,234.1,26.44999921,74.63998124
Delhi,NR,2019-01-02,85.8,28.6699929,77.23000403
UP,NR,2019-01-02,313.9,27.59998069,78.05000565
Uttarakhand,NR,2019-01-02,40.7,30.32040895,78.05000565
HP,NR,2019-01-02,30,31.10002545,77.16659704
J&K,NR,2019-01-02,52.5,33.45,76.24
Chandigarh,NR,2019-01-02,5,30.71999697,76.78000565
Chhattisgarh,WR,2019-01-02,78.7,22.09042035,82.15998734
Gujarat,WR,2019-01-02,319.5,22.2587,71.1924
MP,WR,2019-01-02,253,21.30039105,76.13001949
Maharashtra,WR,2019-01-02,428.6,19.25023195,73.16017493
Goa,WR,2019-01-02,12.8,15.491997,73.81800065
DNH,WR,2019-01-02,18.6,20.26657819,73.0166178
Andhra Pradesh,SR,2019-01-02,164.6,14.7504291,78.57002559
Telangana,SR,2019-01-02,204.2,18.1124,79.0193
Karnataka,SR,2019-01-02,206.3,12.57038129,76.91999711
Kerala,SR,2019-01-02,72.7,8.900372741,76.56999263
Tamil Nadu,SR,2019-01-02,268.3,12.92038576,79.15004187
Pondy,SR,2019-01-02,6.3,11.93499371,79.83000037
Bihar,ER,2019-01-02,82.3,25.78541445,87.4799727
Jharkhand,ER,2019-01-02,24.8,23.80039349,86.41998572
Odisha,ER,2019-01-02,70.2,19.82042971,85.90001746
West Bengal,ER,2019-01-02,108.2,22.58039044,88.32994665
Sikkim,ER,2019-01-02,2,27.3333303,88.6166475
Arunachal Pradesh,NER,2019-01-02,2.1,27.10039878,93.61660071
Assam,NER,2019-01-02,21.7,26.7499809,94.21666744
Manipur,NER,2019-01-02,2.7,24.79997072,93.95001705
Meghalaya,NER,2019-01-02,6.1,25.57049217,91.8800142
Mizoram,NER,2019-01-02,1.9,23.71039899,92.72001461
Nagaland,NER,2019-01-02,2.2,25.6669979,94.11657019
Tripura,NER,2019-01-02,3.4,23.83540428,91.27999914
Punjab,NR,2019-01-03,121.9,31.51997398,75.98000281
Haryana,NR,2019-01-03,133.5,28.45000633,77.01999101
Rajasthan,NR,2019-01-03,240.2,26.44999921,74.63998124
Delhi,NR,2019-01-03,85.5,28.6699929,77.23000403
UP,NR,2019-01-03,311.8,27.59998069,78.05000565
Uttarakhand,NR,2019-01-03,39.3,30.32040895,78.05000565
HP,NR,2019-01-03,30.1,31.10002545,77.16659704
J&K,NR,2019-01-03,54.1,33.45,76.24
Chandigarh,NR,2019-01-03,4.9,30.71999697,76.78000565
Chhattisgarh,WR,2019-01-03,78.8,22.09042035,82.15998734
Gujarat,WR,2019-01-03,316.7,22.2587,71.1924
MP,WR,2019-01-03,253.6,21.30039105,76.13001949
Maharashtra,WR,2019-01-03,419.6,19.25023195,73.16017493
Goa,WR,2019-01-03,13.7,15.491997,73.81800065
DNH,WR,2019-01-03,18.2,20.26657819,73.0166178
Andhra Pradesh,SR,2019-01-03,170.1,14.7504291,78.57002559
Telangana,SR,2019-01-03,204.5,18.1124,79.0193
Karnataka,SR,2019-01-03,212.2,12.57038129,76.91999711
Kerala,SR,2019-01-03,73.6,8.900372741,76.56999263
Tamil Nadu,SR,2019-01-03,285.2,12.92038576,79.15004187
Pondy,SR,2019-01-03,6.5,11.93499371,79.83000037
Bihar,ER,2019-01-03,82,25.78541445,87.4799727
Jharkhand,ER,2019-01-03,25.6,23.80039349,86.41998572
Odisha,ER,2019-01-03,67.9,19.82042971,85.90001746
West Bengal,ER,2019-01-03,110.2,22.58039044,88.32994665
Sikkim,ER,2019-01-03,1.9,27.3333303,88.6166475
Arunachal Pradesh,NER,2019-01-03,2.2,27.10039878,93.61660071
Assam,NER,2019-01-03,23.4,26.7499809,94.21666744
Manipur,NER,2019-01-03,2.4,24.79997072,93.95001705
Meghalaya,NER,2019-01-03,6.5,25.57049217,91.8800142
Mizoram,NER,2019-01-03,1.8,23.71039899,92.72001461
Nagaland,NER,2019-01-03,2.2,25.6669979,94.11657019
Tripura,NER,2019-01-03,3.6,23.83540428,91.27999914
Punjab,NR,2019-01-04,118.8,31.51997398,75.98000281
Haryana,NR,2019-01-04,128.2,28.45000633,77.01999101
Rajasthan,NR,2019-01-04,239.8,26.44999921,74.63998124
Delhi,NR,2019-01-04,83.5,28.6699929,77.23000403
UP,NR,2019-01-04,320.7,27.59998069,78.05000565
Uttarakhand,NR,2019-01-04,38.1,30.32040895,78.05000565
HP,NR,2019-01-04,30.1,31.10002545,77.16659704
J&K,NR,2019-01-04,53.2,33.45,76.24
Chandigarh,NR,2019-01-04,4.8,30.71999697,76.78000565
Chhattisgarh,WR,2019-01-04,74.8,22.09042035,82.15998734
Gujarat,WR,2019-01-04,301.9,22.2587,71.1924
MP,WR,2019-01-04,239.3,21.30039105,76.13001949
Maharashtra,WR,2019-01-04,395.8,19.25023195,73.16017493
Goa,WR,2019-01-04,12.6,15.491997,73.81800065
DNH,WR,2019-01-04,16.7,20.26657819,73.0166178
Andhra Pradesh,SR,2019-01-04,165.2,14.7504291,78.57002559
Telangana,SR,2019-01-04,201.2,18.1124,79.0193
Karnataka,SR,2019-01-04,205.3,12.57038129,76.91999711
Kerala,SR,2019-01-04,73.4,8.900372741,76.56999263
Tamil Nadu,SR,2019-01-04,270.3,12.92038576,79.15004187
Pondy,SR,2019-01-04,6.4,11.93499371,79.83000037
Bihar,ER,2019-01-04,82.9,25.78541445,87.4799727
Jharkhand,ER,2019-01-04,26.3,23.80039349,86.41998572
Odisha,ER,2019-01-04,66.3,19.82042971,85.90001746
West Bengal,ER,2019-01-04,106.8,22.58039044,88.32994665
Sikkim,ER,2019-01-04,1.7,27.3333303,88.6166475
Arunachal Pradesh,NER,2019-01-04,2.2,27.10039878,93.61660071
Assam,NER,2019-01-04,21.7,26.7499809,94.21666744
Manipur,NER,2019-01-04,2.4,24.79997072,93.95001705
Meghalaya,NER,2019-01-04,6.3,25.57049217,91.8800142
Mizoram,NER,2019-01-04,1.7,23.71039899,92.72001461
Nagaland,NER,2019-01-04,2.2,25.6669979,94.11657019
Tripura,NER,2019-01-04,3.5,23.83540428,91.27999914
Punjab,NR,2019-01-05,121,31.51997398,75.98000281
Haryana,NR,2019-01-05,127.5,28.45000633,77.01999101
Rajasthan,NR,2019-01-05,239.1,26.44999921,74.63998124
Delhi,NR,2019-01-05,79.2,28.6699929,77.23000403
UP,NR,2019-01-05,299,27.59998069,78.05000565
Uttarakhand,NR,2019-01-05,39.2,30.32040895,78.05000565
HP,NR,2019-01-05,30.2,31.10002545,77.16659704
J&K,NR,2019-01-05,51.5,33.45,76.24
Chandigarh,NR,2019-01-05,4.3,30.71999697,76.78000565
Chhattisgarh,WR,2019-01-05,69,22.09042035,82.15998734
Gujarat,WR,2019-01-05,313.2,22.2587,71.1924
MP,WR,2019-01-05,228.2,21.30039105,76.13001949
Maharashtra,WR,2019-01-05,411.1,19.25023195,73.16017493
Goa,WR,2019-01-05,13,15.491997,73.81800065
DNH,WR,2019-01-05,17.6,20.26657819,73.0166178
Andhra Pradesh,SR,2019-01-05,167.4,14.7504291,78.57002559
Telangana,SR,2019-01-05,201.7,18.1124,79.0193
Karnataka,SR,2019-01-05,212.4,12.57038129,76.91999711
Kerala,SR,2019-01-05,75.4,8.900372741,76.56999263
Tamil Nadu,SR,2019-01-05,286.8,12.92038576,79.15004187
Pondy,SR,2019-01-05,6.6,11.93499371,79.83000037
Bihar,ER,2019-01-05,77,25.78541445,87.4799727
Jharkhand,ER,2019-01-05,23,23.80039349,86.41998572
Odisha,ER,2019-01-05,65.8,19.82042971,85.90001746
West Bengal,ER,2019-01-05,107,22.58039044,88.32994665
Sikkim,ER,2019-01-05,2,27.3333303,88.6166475
Arunachal Pradesh,NER,2019-01-05,2.2,27.10039878,93.61660071
Assam,NER,2019-01-05,22.5,26.7499809,94.21666744
Manipur,NER,2019-01-05,2.7,24.79997072,93.95001705
Meghalaya,NER,2019-01-05,5.7,25.57049217,91.8800142
